Action:incr_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 22 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 22 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 23 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 23 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 24 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 24 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 25 | frame_height: 40
Action:decr_cursor_multiline | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 24 | frame_height: 40
Action:decr_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 24 | frame_height: 40
Action:decr_cursor_multiline | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 23 | frame_height: 40
Action:decr_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 23 | frame_height: 40
Action:top_line:17 | middle_line:18 | bottom_line:24 | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 23 | frame_height: 40
Action:line_up_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 4 | cursor_position: 22 | frame_height: 40
Action:top_line:17 | middle_line:18 | bottom_line:24 | scroll_top: 0 | scroll_max: 5 | cur_line: 4 | cursor_position: 22 | frame_height: 40
Action:line_up_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 3 | cursor_position: 21 | frame_height: 40
